Title,Type,Tags,Published,Variant Price,Variant Compare At Price,Image Src
Jenak $18.000,Cafeteria,Cuidado Personal,TRUE,15000,18000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_20200106_161114_791_1309ceb8-3110-4458-8793-54fa758b9548.jpg?v=1585369331
Jenak $35.000,Cafeteria,Cuidado Personal,TRUE,30000,35000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_20200325_210843_626.jpg?v=1585369477
Joyas Diez $10.000,Cafeteria,Accesorios,TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/CapturadePantalla2020-03-26ala_s_15.10.21.png?v=1585369465
Joyas Paula Campusano $20.000,Accesorios,"Accesorios, New!, Providencia",TRUE,15000,20000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/ScreenShot2020-03-26at15.54.24_ac311ea4-575f-4b31-8aee-77ca8b68157e.png?v=1585369295
Joyas Paula Campusano $45.000,Accesorios,"Accesorios, New!, Providencia",TRUE,40000,45000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/ScreenShot2020-03-26at15.54.04.png?v=1585369440
Justo Cafe $10.000 + 20% de descuento,Cafeteria,"Cafe, Restaurant, nunoa",TRUE,10000,,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_2826.jpg?v=1585369630
Kollof en masas $10.000,Restaurante,"El Bosque, Restaurant",TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_20200130_201144_522.jpg?v=1585369278
Kollof en masas 10% de descuento extra en tu compra,Restaurante,"El Bosque, Restaurant",TRUE,10000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_20200130_201144_522_0fa9d416-0db2-4c08-a9c0-905303904134.jpg?v=1585369266
Kremosa $10000,Restaurante,Tienda (Alimentos),TRUE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_2712_ae8f7df3-2aa0-49c7-9307-c3f74003bbd3.png?v=1585415399
Kremosa 2 Kremosas por $11.000 (despacho online disponible gratis),Restaurante,Tienda (Alimentos),TRUE,11000,15000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/IMG_2712.png?v=1585415378
La Chica de Humo $10.000,Restaurante,New!,FALSE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/lachicade_humo3.png?v=1585369376
La Cooka $10.000,,New!,FALSE,8000,10000,https://cdn.shopify.com/s/files/1/0358/4212/9979/products/lacook_a.jpg?v=1585369367
